scanCode = 37, vkCode = 75, dwExtraInfo = 0, flags = 0
scanCode = 37, vkCode = 75, dwExtraInfo = 0, flags = 128
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 0
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 128
scanCode = 36, vkCode = 74, dwExtraInfo = 0, flags = 0
scanCode = 36, vkCode = 74, dwExtraInfo = 0, flags = 128
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 0
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 128
scanCode = 57, vkCode = 32, dwExtraInfo = 0, flags = 0
scanCode = 57, vkCode = 32, dwExtraInfo = 0, flags = 128
scanCode = 70, vkCode = 145, dwExtraInfo = 0, flags = 0
scanCode = 70, vkCode = 145, dwExtraInfo = 0, flags = 128
scanCode = 37, vkCode = 75, dwExtraInfo = 0, flags = 0
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 16
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 16
scanCode = 2, vkCode = 49, dwExtraInfo = 7, flags = 16
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 144
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 144
scanCode = 2, vkCode = 49, dwExtraInfo = 7, flags = 144
scanCode = 19, vkCode = 82, dwExtraInfo = 7, flags = 16
scanCode = 19, vkCode = 82, dwExtraInfo = 7, flags = 144
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 16
scanCode = 37, vkCode = 75, dwExtraInfo = 0, flags = 128
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 16
scanCode = 11, vkCode = 48, dwExtraInfo = 7, flags = 16
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 144
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 144
scanCode = 11, vkCode = 48, dwExtraInfo = 7, flags = 144
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 0
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 16
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 16
scanCode = 2, vkCode = 49, dwExtraInfo = 7, flags = 16
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 144
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 144
scanCode = 2, vkCode = 49, dwExtraInfo = 7, flags = 144
scanCode = 18, vkCode = 69, dwExtraInfo = 7, flags = 16
scanCode = 18, vkCode = 69, dwExtraInfo = 7, flags = 144
scanCode = 29, vkCode = 162, dwExtraInfo = 7, flags = 16
scanCode = 22, vkCode = 85, dwExtraInfo = 0, flags = 128
scanCode = 42, vkCode = 160, dwExtraInfo = 7, flags = 16
