scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 19, vkCode = 82, flags = 10
scanCode = 19, vkCode = 82, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 18, vkCode = 69, flags = 10
scanCode = 18, vkCode = 69, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 19, vkCode = 82, flags = 10
scanCode = 19, vkCode = 82, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 18, vkCode = 69, flags = 10
scanCode = 18, vkCode = 69, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 57, vkCode = 32, flags = 10
scanCode = 57, vkCode = 32, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
scanCode = 42, vkCode = 160, flags = 90
scanCode = 47, vkCode = 86, flags = 10
scanCode = 47, vkCode = 86, flags = 90
scanCode = 42, vkCode = 160, flags = 10
scanCode = 29, vkCode = 162, flags = 10
scanCode = 29, vkCode = 162, flags = 90
