scanCode = 37, vkCode = 75, flags = 0
scanCode = 37, vkCode = 75, flags = 80
scanCode = 22, vkCode = 85, flags = 0
scanCode = 22, vkCode = 85, flags = 80
scanCode = 56, vkCode = 165, flags = 21
scanCode = 56, vkCode = 165, flags = 81
scanCode = 37, vkCode = 75, flags = 0
scanCode = 37, vkCode = 75, flags = 80
scanCode = 22, vkCode = 85, flags = 0
scanCode = 22, vkCode = 85, flags = 80
scanCode = 37, vkCode = 75, flags = 0
scanCode = 37, vkCode = 75, flags = 80
scanCode = 22, vkCode = 85, flags = 0
scanCode = 22, vkCode = 85, flags = 80
scanCode = 70, vkCode = 145, flags = 0
scanCode = 70, vkCode = 145, flags = 80
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 0
scanCode = 14, vkCode = 8, flags = 80
scanCode = 37, vkCode = 75, flags = 0
scanCode = 37, vkCode = 75, flags = 80
scanCode = 22, vkCode = 85, flags = 0
scanCode = 22, vkCode = 85, flags = 80
scanCode = 37, vkCode = 75, flags = 0
scanCode = 37, vkCode = 75, flags = 80
scanCode = 22, vkCode = 85, flags = 0
scanCode = 22, vkCode = 85, flags = 80
scanCode = 57, vkCode = 32, flags = 0
scanCode = 57, vkCode = 32, flags = 80
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
scanCode = 50, vkCode = 172, flags = 1
scanCode = 50, vkCode = 172, flags = 81
